,Date,Open,High,Low,Close,(High-Low),(Open-Close)
325,2021-07-09,19558.80,19579.60,19420.25,19501.20,159.35,57.60
326,2021-07-08,19718.10,19751.95,19516.75,19597.45,235.20,120.65
327,2021-07-07,19692.10,19742.65,19521.40,19693.80,221.25,-1.70
328,2021-07-06,19712.40,19889.90,19691.00,19726.05,198.90,-13.65
329,2021-07-05,19694.20,19814.20,19678.60,19789.65,135.60,-95.45
330,2021-07-02,19653.05,19740.65,19636.55,19684.10,104.10,-31.05
331,2021-07-01,19870.40,19894.15,19680.70,19708.55,213.45,161.85
332,2021-06-30,19905.50,19990.35,19774.00,19822.40,216.35,83.10
333,2021-06-29,19883.10,19980.70,19757.85,19849.15,222.85,33.95
334,2021-06-28,20097.30,20101.30,19827.35,19858.50,273.95,238.80
335,2021-06-25,20108.90,20110.55,19891.20,19961.05,219.35,147.85
336,2021-06-24,20319.85,20353.30,20019.30,20078.95,334.00,240.90
337,2021-06-23,20656.25,20656.25,20306.40,20353.55,349.85,302.70
338,2021-06-22,20582.10,20715.85,20450.65,20491.00,265.20,91.10
339,2021-06-21,19937.40,20469.90,19913.55,20439.50,556.35,-502.10
340,2021-06-18,20569.75,20587.40,19939.05,20164.20,648.35,405.55
341,2021-06-17,20582.65,20772.10,20380.30,20564.50,391.80,18.15
342,2021-06-16,20848.40,20926.20,20689.00,20773.35,237.20,75.05
343,2021-06-15,21022.95,21066.10,20851.75,20900.10,214.35,122.85
344,2021-06-14,20755.35,20983.75,20407.15,20902.70,576.60,-147.35
345,2021-06-11,20826.75,20972.90,20647.50,20797.20,325.40,29.55
346,2021-06-10,20866.40,20894.75,20662.25,20712.80,232.50,153.60
347,2021-06-09,20884.45,21061.10,20518.65,20669.20,542.45,215.25
348,2021-06-08,20840.30,20840.30,20576.55,20745.00,263.75,95.30
349,2021-06-07,20497.10,20769.25,20416.30,20743.95,352.95,-246.85
350,2021-06-04,20402.30,20487.80,20285.75,20368.05,202.05,34.25
351,2021-06-03,20372.00,20517.20,20233.90,20328.40,283.30,43.60
352,2021-06-02,19959.70,20253.40,19959.00,20223.50,294.40,-263.80
353,2021-06-01,19967.05,20134.05,19895.60,19976.80,238.45,-9.75
354,2021-05-31,19648.10,19949.35,19485.50,19908.95,463.85,-260.85
355,2021-05-28,19446.45,19713.60,19401.85,19566.80,311.75,-120.35
356,2021-05-27,19435.55,19453.10,19263.85,19295.35,189.25,140.20
357,2021-05-26,19637.70,19637.70,19300.05,19321.00,337.65,316.70
358,2021-05-25,19767.25,19767.25,19521.05,19542.40,246.20,224.85
359,2021-05-24,19420.30,19608.40,19364.35,19583.55,244.05,-163.25
360,2021-05-21,19283.15,19358.90,19258.15,19326.30,100.75,-43.15
361,2021-05-20,19376.95,19432.80,19098.75,19155.50,334.05,221.45
362,2021-05-19,19248.50,19353.15,19164.50,19308.10,188.65,-59.60
363,2021-05-18,19106.70,19289.35,19052.45,19201.55,236.90,-94.85
364,2021-05-17,18803.75,18870.40,18684.55,18847.05,185.85,-43.30
365,2021-05-14,18858.10,18858.10,18489.95,18652.95,368.15,205.15
366,2021-05-12,18968.00,19088.20,18585.50,18717.40,502.70,250.60
367,2021-05-11,18489.65,18944.75,18409.35,18917.80,535.40,-428.15
368,2021-05-10,18428.25,18614.35,18379.30,18590.05,235.05,-161.80
369,2021-05-07,18283.25,18366.00,18149.90,18295.60,216.10,-12.35
370,2021-05-06,18169.75,18209.80,18031.75,18178.20,178.05,-8.45
371,2021-05-05,18102.20,18203.75,17961.65,18058.80,242.10,43.40
372,2021-05-04,18031.75,18150.60,17881.60,17947.85,269.00,83.90
373,2021-05-03,17854.90,18048.90,17789.55,17983.40,259.35,-128.50
374,2021-04-30,17926.70,18387.35,17897.05,18031.10,490.30,-104.40
375,2021-04-29,18176.80,18234.65,18003.20,18063.10,231.45,113.70
376,2021-04-28,17990.35,18037.50,17914.95,17990.60,122.55,-0.25
377,2021-04-27,17702.05,17919.15,17686.55,17879.20,232.60,-177.15
378,2021-04-26,17662.70,17742.10,17609.50,17675.00,132.60,-12.30
379,2021-04-23,17323.20,17594.10,17304.40,17537.70,289.70,-214.50
380,2021-04-22,17271.60,17449.45,17159.30,17370.95,290.15,-99.35
381,2021-04-20,17476.60,17570.50,17254.95,17342.00,315.55,134.60
382,2021-04-19,17456.00,17518.10,17302.30,17357.75,215.80,98.25
383,2021-04-16,17757.35,17982.75,17712.25,17841.05,270.50,-83.70
384,2021-04-15,17650.10,17950.50,17544.45,17781.65,406.05,-131.55
385,2021-04-13,17381.75,17713.55,17348.05,17672.80,365.50,-291.05
386,2021-04-12,17796.95,17811.55,17215.25,17279.45,596.30,517.50
387,2021-04-09,18289.70,18305.10,18058.00,18077.15,247.10,212.55
388,2021-04-08,18368.85,18445.90,18226.10,18275.55,219.80,93.30
389,2021-04-07,18339.30,18537.35,18284.35,18333.35,253.00,5.95
390,2021-04-06,18335.70,18425.10,18139.45,18217.15,285.65,118.55
391,2021-04-05,18438.80,18476.50,17973.40,18232.20,503.10,206.60
392,2021-04-01,18295.25,18543.00,18246.80,18516.20,296.20,-220.95
393,2021-03-31,18372.45,18449.45,18160.40,18185.10,289.05,187.35
394,2021-03-30,18392.00,18588.90,18309.70,18418.90,279.20,-26.90
395,2021-03-26,18345.60,18395.15,18075.50,18217.65,319.65,127.95
396,2021-03-25,18719.60,18724.35,18094.20,18133.35,630.15,586.25
397,2021-03-24,18853.90,18984.85,18641.05,18676.75,343.80,177.15
398,2021-03-23,19076.70,19143.60,18952.55,19005.55,191.05,71.15
399,2021-03-22,19151.30,19152.20,18862.85,18991.75,289.35,159.55
400,2021-03-19,18264.15,19066.50,18045.15,18985.40,"1,021.35",-721.25
401,2021-03-18,18834.90,18952.95,18326.65,18404.40,626.30,430.50
402,2021-03-17,19279.00,19298.60,18654.55,18693.95,644.05,585.05
403,2021-03-16,19404.20,19497.00,19249.35,19293.20,247.65,111.00
404,2021-03-15,19440.15,19440.85,19005.75,19322.90,435.10,117.25
405,2021-03-12,19546.55,19612.75,19203.70,19318.30,409.05,228.25
406,2021-03-10,19544.25,19548.45,19238.70,19331.25,309.75,213.00
407,2021-03-09,19654.20,19692.95,19053.85,19385.15,639.10,269.05
408,2021-03-08,19516.05,19907.95,19481.50,19650.35,426.45,-134.30
409,2021-03-05,19514.15,19767.70,19323.55,19428.20,444.15,85.95
410,2021-03-04,19486.05,19676.90,19436.80,19507.30,240.10,-21.25
411,2021-03-03,19567.15,19727.20,19309.55,19670.05,417.65,-102.90
